Price,Adj Close,Close,High,Low,Open,Volume
Ticker,REGN,REGN,REGN,REGN,REGN,REGN
Date,,,,,,
2024-04-12,899.7101440429688,904.7000122070312,912.219970703125,898.260009765625,911.5499877929688,665300
2024-04-15,893.60400390625,898.5599975585938,921.1199951171875,895.0900268554688,915.3699951171875,656200
2024-04-16,889.2083129882812,894.1400146484375,901.0700073242188,890.4299926757812,897.219970703125,615700
2024-04-17,896.219482421875,901.1900024414062,911.6400146484375,899.9000244140625,903.8800048828125,468700
2024-04-18,889.05908203125,893.989990234375,908.8099975585938,891.6699829101562,901.260009765625,450600
2024-04-19,891.87353515625,896.8200073242188,920.72998046875,891.4600219726562,913.969970703125,507500
2024-04-22,895.195068359375,900.1599731445312,908.6699829101562,897.4500122070312,904.5399780273438,351400
2024-04-23,902.315673828125,907.3200073242188,912.739990234375,903.8300170898438,905.6599731445312,341200
2024-04-24,901.5399169921875,906.5399780273438,915.7000122070312,904.4099731445312,906.9000244140625,373600
2024-04-25,885.7673950195312,890.6799926757812,915.0,876.75,911.0900268554688,576600
2024-04-26,878.3286743164062,883.2000122070312,887.47998046875,875.22998046875,881.719970703125,505700
2024-04-29,887.5574340820312,892.47998046875,897.780029296875,883.2000122070312,883.2000122070312,369900
2024-04-30,885.7474975585938,890.6599731445312,896.8499755859375,885.010009765625,892.1099853515625,636700
2024-05-01,898.496826171875,903.47998046875,913.2100219726562,888.52001953125,889.4099731445312,595200
2024-05-02,932.4385375976562,937.6099853515625,943.77001953125,891.2999877929688,900.0,1067000
2024-05-03,951.7216186523438,957.0,958.1300048828125,926.9400024414062,926.9400024414062,547400
2024-05-06,953.3526000976562,958.6400146484375,962.0999755859375,950.27001953125,958.0,352000
2024-05-07,964.6201171875,969.969970703125,970.5599975585938,957.0999755859375,967.8800048828125,362300
2024-05-08,950.4884643554688,955.760009765625,971.8599853515625,952.1400146484375,969.9000244140625,424900
2024-05-09,962.6609497070312,968.0,969.97998046875,956.760009765625,959.5900268554688,281900
2024-05-10,968.4288940429688,973.7999877929688,979.97998046875,966.8499755859375,970.0,351400
2024-05-13,971.571533203125,976.9600219726562,982.5800170898438,970.989990234375,980.0,284300
2024-05-14,979.2091674804688,984.6400146484375,987.7999877929688,970.9500122070312,980.0,307900
2024-05-15,972.8146362304688,978.2100219726562,988.9600219726562,966.3400268554688,988.0,593300
2024-05-16,962.6410522460938,967.97998046875,978.2999877929688,967.4099731445312,978.27001953125,407600
2024-05-17,976.8721923828125,982.2899780273438,982.77001953125,966.0,969.27001953125,386600
2024-05-20,981.82470703125,987.27001953125,987.989990234375,978.2100219726562,980.4199829101562,317900
2024-05-21,988.4678344726562,993.9500122070312,995.9199829101562,982.969970703125,987.989990234375,331600
2024-05-22,978.373779296875,983.7999877929688,997.8699951171875,981.5700073242188,993.0,308700
2024-05-23,975.16162109375,980.5700073242188,991.7100219726562,975.72998046875,985.4299926757812,315700
2024-05-24,979.5870971679688,985.02001953125,995.4099731445312,983.1599731445312,984.0399780273438,259300
2024-05-28,967.79248046875,973.1599731445312,978.9299926757812,963.4099731445312,974.8599853515625,336800
2024-05-29,961.1593017578125,966.489990234375,971.239990234375,958.6400146484375,970.0,346700
2024-05-30,964.5604248046875,969.9099731445312,971.8599853515625,952.2999877929688,965.5800170898438,444000
2024-05-31,974.7538452148438,980.1599731445312,980.9199829101562,967.4299926757812,969.1400146484375,833200
2024-06-03,984.0223999023438,989.47998046875,1001.0399780273438,979.260009765625,980.1599731445312,533000
2024-06-04,987.8114624023438,993.2899780273438,1000.1500244140625,986.6400146484375,989.7899780273438,340400
2024-06-05,1000.3220825195312,1005.8699951171875,1015.0,989.77001953125,993.4400024414062,385500
2024-06-06,995.2700805664062,1000.7899780273438,1016.0,997.72998046875,1005.1900024414062,439700
2024-06-07,997.418212890625,1002.9500122070312,1007.4299926757812,994.4400024414062,999.0,250100
2024-06-10,996.2048950195312,1001.72998046875,1002.9500122070312,992.219970703125,998.4500122070312,250900
2024-06-11,1004.96630859375,1010.5399780273438,1016.989990234375,997.8400268554688,998.0800170898438,448200
2024-06-12,1022.0018920898438,1027.6700439453125,1030.0,1009.1500244140625,1014.8099975585938,453700
2024-06-13,1020.8880615234375,1026.550048828125,1030.8299560546875,1017.8699951171875,1022.6799926757812,315400
2024-06-14,1030.8031005859375,1036.52001953125,1042.6600341796875,1017.9600219726562,1024.300048828125,353900
2024-06-17,1039.6041259765625,1045.3699951171875,1049.5,1026.010009765625,1036.52001953125,446100
